x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
3729406;6346008;34;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3730269;7754594;41;9.351717820250862e-06;2.07776467150757e-05;4.993797729269284e-07;7.002193508822492e-07;1.7262570774056916e-05;7.650868151328257e-05;7.437444278335904e-06
3732699;7747515;41;0.0047553845869117515;0.009620916164359844;0.00022762671517739146;0.00032292028960837513;0.008632740440440939;0.03792099654308368;0.0035298068539490477
3732743;7747475;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3732804;7747525;41;0.005727224632304556;0.026804636815574885;-0.00030471460023548435;0.0011596859619402455;0.021989776917802226;0.050460659056010285;0.005413246919843486
3732834;7747505;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3740716;5314582;3;1.8991133228266565e-06;1.923845844797584e-06;-2.6404467426233196e-08;2.6404467426230767e-08;3.1420303792140646e-08;3.289575261796403e-06;2.1688431707239838e-08
3741545;5317553;51;3.723751613385601e-08;6.412819482658614e-07;4.123177988195044e-09;1.3177698531000305e-08;6.412819482658614e-07;1.0965250872654676e-06;1.489603845219813e-07
3744893;5544370;54;4.941247473393145e-06;6.165988407941794e-05;-3.5205514127454127e-07;1.2331877857297995e-06;4.128921390136537e-05;8.69493769047735e-05;1.0751170572003876e-05
3746055;5415856;24;1.5825944356888806e-07;1.2825638965317227e-06;3.464884680242503e-08;5.729434143913176e-08;1.2825638965317227e-06;2.193050174530935e-06;4.1874633493523195e-07
3747394;8505411;32;0.0009027892876933002;0.001537368661004909;-3.261224291913315e-06;3.2144082194788725e-05;0.0007618002702046847;0.005161854824899331;0.00013273955916752602
3752067;7768291;88;0.007687705989317861;0.032679738562091505;3.756402977985657e-05;0.001688080436257429;0.032679738562091505;0.10012276558978486;0.007403696659643903
3759288;6183286;33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3761753;5509860;59;0.0002826916872577762;0.002376464447764396;2.001085017748442e-05;4.903386477684049e-05;0.002358251877517138;0.005765240656241889;0.0006952994600761647
3763389;5510073;48;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3769768;5342230;37;6.271797792522442e-05;0.0007785162851947557;9.350128174921035e-06;2.192454884283415e-05;0.0007785162851947557;0.001339800906060126;0.00021114394423629861
3781621;7949004;45;0.022319489048340503;0.026792022264231975;0.00018965671117237534;0.0007140376325673793;0.005412292142527864;0.1510111259977536;0.0029332521316593444
3782481;7773846;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3782523;7775379;25;0.0025275624098402634;0.0027945971122496503;-2.242649378966376e-05;2.169629702259622e-05;5.6422908325023686e-05;0.012664232108040031;0.00016352143533788862
